Race Type,Race Number,Race Name,Venue,Race Time
Saddle Trotting,9,Immortal Fiends,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",12.10
Saddle Trotting,7,Immortal Fiends,"Doomben Racecourse, Brisbane, Queensland",12.11
Jump racing,2,Forest Angels,"Wangaratta Racecourse, Wangaratta, Victoria",12.11
Saddle Trotting,22,Shore Undine,"Warrnambool Racecourse, Warrnambool, Victoria",12.12
Harness racing,18,Immortal Fiends,"Wyong Race Club, Wyong, New South Wales",12.14
Harness racing,21,Autumn Nymphs,"Hamilton Racecourse, Hamilton, Victoria",12.15
Flat racing,2,Autumn Nymphs,"Clare Valley Racecourse, Clare, South Australia",12.17
Jump racing,13,Feral Oceanids,"Hawkesbury Race Club, Richmond, New South Wales",12.17
Jump racing,10,Immortal Fiends,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",12.17
Saddle Trotting,6,Forlorn Orcs,"Geelong Racecourse, Geelong, Victoria",12.17
Harness racing,12,Forest Angels,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",12.18
Flat racing,5,Sanguine Ghouls,"Callaghan Park, Rockhampton, Queensland",12.20
Endurance racing,19,Shore Undine,"Clare Valley Racecourse, Clare, South Australia",12.21
Saddle Trotting,25,Immortal Fiends,"Flemington Racecourse, Melbourne, Victoria",12.25
Jump racing,13,Sanguine Ghouls,"Geelong Racecourse, Geelong, Victoria",12.32
Flat racing,21,Sanguine Ghouls,"Tamworth Jockey Club, Tamworth, New South Wales[4]",12.38
Saddle Trotting,25,Autumn Nymphs,"Hamilton Racecourse, Hamilton, Victoria",12.39
Endurance racing,1,Sanguine Ghouls,"Camperdown Racecourse, Camperdown, Victoria",12.40
Endurance racing,20,Forlorn Orcs,"Ballarat Turf Club, Ballarat, Victoria",12.40
Saddle Trotting,5,Arachnid Fairies,"Seymour Racing Club, Seymour, Victoria",12.41
Flat racing,4,Copper Goblins,"Newcastle Jockey Club, Newcastle, New South Wales",12.42
Flat racing,25,Immortal Fiends,"Clare Valley Racecourse, Clare, South Australia",12.42
Harness racing,12,Copper Goblins,"Terang Racecourse, Terang, Victoria",12.43
Harness racing,19,Forlorn Orcs,"Randwick Racecourse, Sydney, New South Wales",12.46
Jump racing,5,Feral Oceanids,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",12.48
Saddle Trotting,16,Shore Undine,"Callaghan Park, Rockhampton, Queensland",12.50
Endurance racing,1,Copper Goblins,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",12.50
Endurance racing,1,Autumn Nymphs,"Dingo Racecourse, Dingo, Queensland",12.50
Harness racing,21,Forlorn Orcs,"Ascot Racecourse, Perth, Western Australia",12.51
